Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:19:46

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.1

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
     150  3999,76  3985,11  3045,75
   150,5  3999,76  3989,38  3051,85
     151  3999,76  3982,67  3042,08
   151,5  3999,76  3975,95  3041,47
     152  3999,76   3984,5  3034,76
   152,5  3999,76  3985,11   3042,7
     153  3999,76  3983,89  3054,29
   153,5  3999,76  3978,39  3061,62
     154  3999,76  3985,72  3068,33
   154,5  3999,76  3991,21  3071,99
     155  3999,76  3985,72  3070,77
   155,5  3999,76  3989,99  3064,67
     156  3999,76  3988,16  3057,34
   156,5  3999,76  3989,99  3048,19
     157  3999,76  3991,82   3060,4
   157,5  3999,76  3993,04  3050,63
     158  3999,76  3988,77  3023,16
   158,5  3999,76  3992,43  3017,67
     159  3999,76  3992,43  3021,94
   159,5  3999,76  3986,94  3034,76
     160  3999,76  3994,26  3033,54
   160,5  3999,76  3991,82   3037,2
     161  3999,76   3996,7  3041,47
   161,5  3999,76  3988,16  3029,88
     162  3999,76  3994,26  3043,92
   162,5  3999,76   3996,7  3050,02
     163  3999,76  3991,82  3053,68
   163,5  3999,76  4001,59  3056,12
     164  3999,76  3993,65  3040,86
   164,5  3999,76  4001,59  3056,12
     165  3999,76  3997,92  3051,24
   165,5  3999,76  3994,87  3044,53
     166  3999,76   3996,7   3042,7
   166,5  3999,76  4000,98  3050,02
     167  3999,76  4006,47  3059,79
   167,5  3999,76  3994,87   3054,9
     168  3999,76   4002,2  3047,58
   168,5  3999,76   3996,7  3029,88
     169  3999,76  3997,92  3039,03
   169,5  3999,76  4004,64  3039,64
     170  3999,76  4002,81  3039,03
   170,5  3999,76  4005,86  3027,44
     171  3999,76  4004,64  3021,94
   171,5  3999,76  3999,76  3016,45
     172  3999,76  4004,64  3016,45
   172,5  3999,76  4008,91  3029,88
     173  3999,76   4002,2  3028,66
   173,5  3999,76  4000,37  3021,94
     174  3999,76   4002,2  3033,54
   174,5  3999,76  4008,91  3023,77
     175  3999,76  4010,13  3021,33
   175,5  3999,76  4004,03  3006,68
     176  3999,76  4002,81  3005,46
   176,5  3999,76  3999,15  3006,68
     177  3999,76   4008,3  3014,01
   177,5  3999,76  4005,25  3010,35
     178  3999,76  4000,37  3018,28
   178,5  3999,76  4004,03  3029,27
     179  3999,76  4007,08  3037,81
   179,5  3999,76  4007,08  3035,37
     180  3999,76  4010,13  3026,22
   180,5  3999,76  4013,18   3019,5
     181  3999,76  4013,79  3005,46
   181,5  3999,76  4013,18  3010,96
     182  3999,76  4006,47  3008,51
   182,5  3999,76   4008,3   3019,5
     183  3999,76   4008,3  3008,51
   183,5  3999,76  4000,98   3019,5
     184  3999,76  4005,86  3015,84
   184,5  3999,76   4008,3  3028,05
     185  3999,76  4005,25  3021,94
   185,5  3999,76  4011,35  3017,06
     186  3999,76  4011,35  3011,57
   186,5  3999,76  4011,96   3019,5
     187  3999,76  4021,12  3012,18
   187,5  3999,76  4012,57  3003,63
     188  3999,76  4011,96   3007,9
   188,5  3999,76  4013,79  3002,41
     189  3999,76  4010,74  3001,19
   189,5  3999,76  4011,96  3006,68
     190  3999,76  4010,13  2993,87
   190,5  3999,76  4009,52  2987,76
     191  3999,76  4005,25  2988,98
   191,5  3999,76  4009,52  2992,65
     192  3999,76  4007,08  2985,32
