Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:02:32

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 3

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
   181,5  3999,76  2939,54  7202,37
     182  3999,76  2957,85  7197,49
   182,5  3999,76  2979,83  7148,05
     183  3999,76  2994,48  7058,93
   183,5  3999,76  3004,85  6971,04
     184  3999,76  3010,35  6848,35
   184,5  3999,76  3026,83  6712,85
     185  3999,76  3038,42  6595,05
   185,5  3999,76   3054,9  6507,77
     186  3999,76  3063,45  6399,12
   186,5  3999,76  3070,16  6284,98
     187  3999,76  3083,59  6176,34
   187,5  3999,76  3095,19  6084,17
     188  3999,76  3109,84  6017,64
   188,5  3999,76  3126,93  5929,75
     189  3999,76  3131,81  5831,48
   189,5  3999,76  3135,47  5748,47
     190  3999,76  3147,07  5645,92
   190,5  3999,76  3144,02   5550,1
     191  3999,76  3153,17  5481,12
   191,5  3999,76  3164,77  5399,33
     192  3999,76  3177,59  5354,78
   192,5  3999,76  3191,02  5307,17
     193  3999,76  3182,47  5256,51
   193,5  3999,76  3192,24  5178,38
     194  3999,76  3196,51  5114,29
   194,5  3999,76     3202  5074,62
     195  3999,76  3203,83  5052,03
   195,5  3999,76  3216,04  5016,63
     196  3999,76  3224,59  4954,38
   196,5  3999,76  3214,21   4914,7
     197  3999,76  3206,27  4869,53
   197,5  3999,76  3204,44  4826,81
     198  3999,76  3210,55  4806,05
   198,5  3999,76  3201,39  4832,91
     199  3999,76  3201,39  4854,27
   199,5  3999,76  3191,02  4865,87
     200  3999,76  3196,51  4882,35
   200,5  3999,76  3195,29  4918,97
     201  3999,76  3198,95  4949,49
   201,5  3999,76   3207,5  4967,19
     202  3999,76  3203,22  4994,66
   202,5  3999,76  3214,82   4973,3
     203  3999,76  3216,65  4947,66
   203,5  3999,76  3217,87  4923,25
     204  3999,76  3214,82  4884,79
   204,5  3999,76  3218,48  4862,82
     205  3999,76  3212,38     4850
   205,5  3999,76  3217,26  4857,94
     206  3999,76   3213,6  4846,95
   206,5  3999,76  3210,55  4850,61
     207  3999,76  3214,21  4842,07
   207,5  3999,76  3220,31  4867,09
     208  3999,76  3223,98  4876,25
   208,5  3999,76  3221,53  4868,31
     209  3999,76  3230,69  4862,21
   209,5  3999,76  3217,87  4828,03
     210  3999,76   3219,7  4787,74
   210,5  3999,76  3232,52  4764,55
     211  3999,76  3235,57  4781,64
   211,5  3999,76  3236,79  4774,32
     212  3999,76  3230,08  4740,75
   212,5  3999,76  3233,13  4704,73
     213  3999,76  3234,35  4680,93
   213,5  3999,76  3232,52  4691,31
     214  3999,76  3236,18  4701,07
   214,5  3999,76  3233,13  4695,58
     215  3999,76  3230,08  4693,75
   215,5  3999,76  3223,98  4692,53
     216  3999,76  3221,53  4699,24
   216,5  3999,76  3217,87  4687,64
     217  3999,76  3217,26  4712,67
   217,5  3999,76  3212,38  4727,93
     218  3999,76  3229,47  4745,63
   218,5  3999,76  3216,65   4779,2
     219  3999,76  3216,04  4800,56
   219,5  3999,76   3213,6  4766,99
     220  3999,76  3209,94  4764,55
   220,5  3999,76  3219,09  4781,64
     221  3999,76  3211,16  4792,63
   221,5  3999,76  3216,04  4804,22
     222  3999,76  3212,99  4775,54
   222,5  3999,76  3211,16  4781,64
     223  3999,76  3202,61  4781,64
   223,5  3999,76     3202  4784,08
     224  3999,76  3206,89  4795,68
   224,5  3999,76  3206,27  4839,62
     225  3999,76  3208,72  4867,09
   225,5  3999,76  3211,16  4883,57
     226  3999,76  3217,26  4882,35
   226,5  3999,76  3208,11  4883,57
     227  3999,76  3208,72   4843,9
   227,5  3999,76  3208,11  4787,13
     228  3999,76  3198,34  4795,07
   228,5  3999,76  3199,56  4818,87
     229  3999,76  3205,66  4849,39
   229,5  3999,76   3195,9  4864,65
     230  3999,76  3193,46  4863,43
   230,5  3999,76  3194,07  4877,47
     231  3999,76  3200,17   4914,7
   231,5  3999,76  3202,61  4931,18
     232  3999,76     3202  4948,27
   232,5  3999,76     3202  4947,05
     233  3999,76  3205,66  4937,28
   233,5  3999,76  3200,78  4923,25
     234  3999,76  3201,39  4909,82
   234,5  3999,76   3195,9  4909,21
     235  3999,76  3198,34  4942,17
