Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
   157,5  3999,76  3852,66  10,9867
     158  3999,76  3813,59  0,61037
   158,5  3999,76  3787,35  2,44148
     159  3999,76   3743,4  4,27259
   159,5  3999,76  3709,22  1,83111
     160  3999,76  3673,21  4,27259
   160,5  3999,76  3629,87  5,49333
     161  3999,76  3594,47  3,66222
   161,5  3999,76  3574,33  3,66222
     162  3999,76  3543,81  772,118
   162,5  3999,76  3527,33  772,118
     163  3999,76   3513,9  1647,39
   163,5  3999,76  3507,19  1647,39
     164  3999,76  3505,36  2086,25
   164,5  3999,76  3501,08  2269,97
     165  3999,76  3489,49  2444,53
   165,5  3999,76  3485,21  2590,41
     166  3999,76  3482,16  2731,41
   166,5  3999,76  3485,82  2890,71
     167  3999,76  3489,49  3020,72
   167,5  3999,76  3496,81  3148,29
     168  3999,76  3504,75   3284,4
   168,5  3999,76     3520  3404,64
     169  3999,76  3523,67  3494,98
   169,5  3999,76   3531,6  3593,25
     170  3999,76  3536,48  3675,04
   170,5  3999,76  3557,24  3773,92
     171  3999,76  3570,06  3856,32
   171,5  3999,76  3581,65  3956,42
     172  3999,76  3594,47  4045,53
   172,5  3999,76  3614,61  4116,34
     173  3999,76  3628,04  4181,04
   173,5  3999,76  3646,35  4228,64
     174  3999,76  3664,05  4279,92
   174,5  3999,76  3685,42  4325,69
     175  3999,76  3699,45  4360,48
   175,5  3999,76   3725,7  4383,68
     176  3999,76  3742,79  4417,86
   176,5  3999,76  3769,04  4450,21
     177  3999,76  3789,18   4478,9
   177,5  3999,76  3806,27  4500,26
     178  3999,76  3826,41  4516,13
   178,5  3999,76   3849,6  4517,35
     179  3999,76  3869,14  4497,21
   179,5  3999,76  3893,55  4499,04
     180  3999,76  3907,59  4494,16
   180,5  3999,76   3925,9  4495,99
     181  3999,76  3949,71  4481,95
   181,5  3999,76  3974,12  4459,36
     182  3999,76  3985,11  4434,34
   182,5  3999,76  4013,79  4386,12
     183  3999,76  4032,11  4352,55
   183,5  3999,76  4046,14  4313,49
     184  3999,76   4066,9  4281,14
   184,5  3999,76  4082,77  4253,67
     185  3999,76  4098,64  4221,32
   185,5  3999,76  4112,06  4169,44
     186  3999,76  4127,32  4128,54
   186,5  3999,76  4140,75  4067,51
     187  3999,76  4154,79  4024,78
   187,5  3999,76  4178,59  3964,96
     188  3999,76  4187,75  3906,98
   188,5  3999,76  4195,07  3844,11
     189  3999,76  4201,79  3760,49
   189,5  3999,76  4209,11  3676,87
     190  3999,76  4217,66  3605,46
   190,5  3999,76  4223,76  3532,82
     191  3999,76   4226,2  3469,95
   191,5  3999,76  4233,53   3402,2
     192  3999,76  4239,02  3349,71
   192,5  3999,76  4242,68  3288,67
     193  3999,76  4248,79  3233,74
   193,5  3999,76  4244,51  3161,11
     194  3999,76  4240,85  3088,47
   194,5  3999,76  4240,85  3015,23
     195  3999,76  4246,96  2967,62
   195,5  3999,76  4245,73  2904,75
     196  3999,76  4239,63  2833,34
   196,5  3999,76  4243,29  2771,08
     197  3999,76  4233,53  2710,65
   197,5  3999,76  4221,93  2657,55
     198  3999,76  4215,22  2615,44
   198,5  3999,76  4212,77  2573,93
     199  3999,76  4211,55  2533,04
   199,5  3999,76  4204,23  2506,18
     200  3999,76  4192,02  2462,23
   200,5  3999,76  4184,09  2416,46
     201  3999,76  4178,59  2370,07
   201,5  3999,76  4168,83  2352,37
     202  3999,76  4159,06  2329,78
   202,5  3999,76  4156,62  2293,77
     203  3999,76  4141,36  2258,98
   203,5  3999,76  4137,09  2250,43
     204  3999,76  4128,54   2218,7
   204,5  3999,76  4107,79  2204,66
     205  3999,76  4095,58  2187,57
   205,5  3999,76  4091,31  2158,27
     206  3999,76  4079,71  2152,17
   206,5  3999,76  4074,22  2147,89
     207  3999,76  4060,79  2144,84
   207,5  3999,76  4046,14  2152,78
     208  3999,76  4044,31  2149,11
   208,5  3999,76  4033,33  2156,44
     209  3999,76  4021,73  2159,49
   209,5  3999,76  4017,46  2178,41
     210  3999,76  4005,86  2193,67
   210,5  3999,76  3991,82  2205,27
     211  3999,76  3981,44  2219,92
   211,5  3999,76  3978,39  2238,23
     212  3999,76  3968,02  2257,76
   212,5  3999,76  3957,64  2276,07
     213  3999,76  3948,48   2289,5
   213,5  3999,76  3946,04  2314,52
     214  3999,76  3936,89  2341,38
   214,5  3999,76  3925,29  2370,68
     215  3999,76  3920,41  2399,98
   215,5  3999,76  3920,41  2434,16
     216  3999,76  3909,42   2495,8
   216,5  3999,76  3901,49  2539,75
     217  3999,76  3897,82  2563,55
   217,5  3999,76  3889,89  2591,63
     218  3999,76   3890,5  2619,71
   218,5  3999,76  3885,01  2653,89
     219  3999,76   3884,4  2697,23
   219,5  3999,76   3890,5  2736,29
     220  3999,76  3883,18  2769,86
   220,5  3999,76  3877,68  2799,16
     221  3999,76  3877,07  2815,64
   221,5  3999,76  3879,51  2840,05
     222  3999,76  3877,68  2852,87
   222,5  3999,76  3882,56  2900,48
     223  3999,76  3875,24  2920,01
