Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:11:01

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 2.5

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0.3

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
     175  3999,76  2865,08        0
   175,5  3999,76  2846,77        0
     176  3999,76  2822,35  4,88296
   176,5  3999,76  2804,65  3,05185
     177  3999,76  2781,46  3,05185
   177,5  3999,76  2758,87  2,44148
     178  3999,76   2736,9  2,44148
   178,5  3999,76  2716,15  1,83111
     179  3999,76  2689,29  3,05185
   179,5  3999,76  2673,42  5,49333
     180  3999,76  2651,45  5,49333
   180,5  3999,76   2625,2  4,27259
     181  3999,76  2612,99   6,1037
   181,5  3999,76  2579,42   6,1037
     182  3999,76  2564,78  1,83111
   182,5  3999,76  2544,63  0,61037
     183  3999,76  2520,22  1,22074
   183,5  3999,76  2498,86  1,22074
     184  3999,76  2470,78  1,83111
   184,5  3999,76  2457,96  0,61037
     185  3999,76  2437,21  0,61037
   185,5  3999,76  2410,96  1,83111
     186  3999,76  2390,82  4,27259
   186,5  3999,76  2368,24  6,71407
     187  3999,76  2346,26  2,44148
   187,5  3999,76  2323,68  4,27259
     188  3999,76  2303,54  4,88296
   188,5  3999,76  2280,34  4,88296
     189  3999,76  2268,14  2,44148
   189,5  3999,76  2244,33  3,66222
     190  3999,76  2220,53  6,71407
   190,5  3999,76  2196,72  7,32444
     191  3999,76  2174,14  7,32444
   191,5  3999,76  2163,15  1,83111
     192  3999,76  2135,69  1,83111
   192,5  3999,76  2121,04  4,27259
     193  3999,76  2097,23  7,93481
   193,5  3999,76  2073,43  6,71407
     194  3999,76  2055,73  0,61037
   194,5  3999,76  2030,09  2,44148
     195  3999,76  2011,78  1,22074
   195,5  3999,76  1991,03  6,71407
     196  3999,76  1975,16  4,88296
   196,5  3999,76  1948,91  7,32444
     197  3999,76  1925,72  2,44148
   197,5  3999,76   1912,9  4,88296
     198  3999,76  1886,65  3,66222
   198,5  3999,76  1873,84   6,1037
     199  3999,76  1852,47  9,15555
   199,5  3999,76  1831,11  20,1422
     200  3999,76  1807,92  20,1422
   200,5  3999,76  1792,66  914,945
     201  3999,76  1776,18  914,945
   201,5  3999,76  1769,46  2185,74
     202  3999,76  1761,53  2185,74
   202,5  3999,76  1750,54  3179,42
     203  3999,76  1749,32  3179,42
   203,5  3999,76  1749,93  4041,26
     204  3999,76   1754,2  4041,26
   204,5  3999,76  1760,31  4848,17
     205  3999,76  1767,02  4848,17
   205,5  3999,76  1778,01   5656,3
     206  3999,76  1788,99   5656,3
   206,5  3999,76  1812,19  6483,96
     207  3999,76  1821,34  6483,96
   207,5  3999,76  1838,44  7256,69
     208  3999,76  1858,58  7256,69
   208,5  3999,76  1881,16  7964,72
     209  3999,76  1900,69  7964,72
   209,5  3999,76  1927,55  8641,62
     210  3999,76  1952,57  8641,62
   210,5  3999,76  1975,16  9247,11
     211  3999,76  2006,29  9247,11
   211,5  3999,76   2024,6  9679,86
     212  3999,76  2055,12  9798,27
   212,5  3999,76  2081,97  9856,26
     213  3999,76  2118,59  9878,84
   213,5  3999,76  2157,66  9909,97
     214  3999,76  2186,35  9930,11
   214,5  3999,76  2219,31  9920,35
     215  3999,76  2258,98  9927,67
   215,5  3999,76  2291,94  9932,55
     216  3999,76  2331,61  9961,85
   216,5  3999,76  2361,52  9961,85
     217  3999,76  2393,26  9980,16
   217,5  3999,76  2434,16  9986,88
     218  3999,76  2459,79  9985,66
   218,5  3999,76  2509,23  9978,94
     219  3999,76  2551,96  9963,68
   219,5  3999,76  2580,03  9953,31
     220  3999,76  2616,66  9992,37
   220,5  3999,76  2649,01  9992,98
     221  3999,76  2699,06  9983,83
   221,5  3999,76  2746,67  9983,21
     222  3999,76  2791,83  9993,59
   222,5  3999,76  2816,25  9995,42
     223  3999,76  2859,58   9994,2
   223,5  3999,76  2902,92  9963,07
     224  3999,76  2941,37  9967,96
   224,5  3999,76  2989,59  9966,73
     225  3999,76   3031,1   9976,5
   225,5  3999,76  3098,24  9981,99
     226  3999,76  3126,93  9983,21
   226,5  3999,76  3170,26  9961,24
     227  3999,76  3223,36  9956,36
   227,5  3999,76  3271,58  9950,87
     228  3999,76   3313,7  9967,96
   228,5  3999,76   3349,1  9987,49
     229  3999,76   3402,2  9994,81
   229,5  3999,76  3460,19  9985,66
     230  3999,76  3493,15  9975,28
   230,5  3999,76     3520  9983,21
     231  3999,76   3584,7  9995,42
   231,5  3999,76  3618,27   9976,5
     232  3999,76  3665,27  9966,12
   232,5  3999,76  3704,34  9972,84
     233  3999,76  3770,26  9971,62
   233,5  3999,76   3814,2  9980,16
     234  3999,76  3875,85   9941,1
   234,5  3999,76  3924,07  9931,33
     235  3999,76  3961,91  9934,38
   235,5  3999,76  4010,13   9958,8
     236  3999,76  4052,25  9966,73
   236,5  3999,76  4104,74   9964,9
     237  3999,76  4138,31  9957,58
   237,5  3999,76  4179,81  9959,41
     238  3999,76  4228,03  9972,23
   238,5  3999,76  4267,71  9954,53
     239  3999,76  4321,42  9951,48
   239,5  3999,76  4363,54  9956,36
     240  3999,76  4417,25  9966,12
   240,5  3999,76  4458,14  9963,07
     241  3999,76  4499,04  9954,53
   241,5  3999,76  4533,83  9948,42
     242  3999,76  4581,44  9960,63
   242,5  3999,76  4618,06  9968,57
     243  3999,76  4655,29  9973,45
   243,5  3999,76  4710,84  9917,29
     244  3999,76  4748,68  9798,27
   244,5  3999,76  4795,68  9646,29
     245  3999,76  4830,47  9646,29
   245,5  3999,76  4864,65  9137,24
     246  3999,76  4915,31  9137,24
   246,5  3999,76  4946,44  8582,42
     247  3999,76  4986,11  8582,42
   247,5  3999,76  5029,45   8034,3
     248  3999,76  5069,12   8034,3
   248,5  3999,76  5097,81  7420,88
     249  3999,76  5138,71  7420,88
   249,5  3999,76  5167,39  6804,41
     250  3999,76  5189,37  6804,41
   250,5  3999,76  5213,78  6214,79
     251  3999,76  5247,35  6214,79
   251,5  3999,76   5279,7  5615,41
     252  3999,76  5307,78  5615,41
   252,5  3999,76  5323,65  5025,79
     253  3999,76  5334,02  5025,79
   253,5  3999,76  5349,28  4394,06
     254  3999,76  5360,88  4394,06
   254,5  3999,76  5371,26  3828,85
     255  3999,76  5379,19  3828,85
   255,5  3999,76  5396,28  3277,69
     256  3999,76  5407,27  3277,69
   256,5  3999,76  5407,88  2729,58
     257  3999,76  5407,27  2729,58
   257,5  3999,76   5415,2  2138,74
     258  3999,76  5407,88  2138,74
   258,5  3999,76  5399,33  1542,41
     259  3999,76  5392,62  1542,41
   259,5  3999,76  5382,85  602,435
     260  3999,76  5365,76  602,435
   260,5  3999,76  5349,89  175,176
     261  3999,76  5335,86  95,8281
   261,5  3999,76  5312,05  62,8681
     262  3999,76  5287,64  43,9467
   262,5  3999,76  5263,22  24,4148
     263  3999,76  5243,08  14,0385
   263,5  3999,76  5213,17  6,71407
     264  3999,76  5189,37  10,9867
   264,5  3999,76  5163,12  9,15555
     265  3999,76   5138,1  6,71407
   265,5  3999,76  5117,95  9,76592
     266  3999,76  5092,32  13,4281
   266,5  3999,76  5072,79  5,49333
     267  3999,76  5052,03  7,93481
   267,5  3999,76  5025,79  7,32444
     268  3999,76  4994,05  6,71407
   268,5  3999,76   4961,7  9,15555
     269  3999,76  4942,17  14,0385
   269,5  3999,76  4924,47  3,05185
     270  3999,76  4895,78  4,88296
   270,5  3999,76  4869,53  2,44148
     271  3999,76  4841,46   11,597
   271,5  3999,76  4816,43  3,66222
     272  3999,76   4790,8  4,88296
   272,5  3999,76  4773,09  0,61037
     273  3999,76  4751,73  1,22074
   273,5  3999,76  4722,43  4,88296
     274  3999,76  4694,36  7,32444
   274,5  3999,76  4674,83  4,27259
     275  3999,76  4657,12  3,05185
   275,5  3999,76  4632,71        0
     276  3999,76  4606,46  4,27259
   276,5  3999,76  4580,22   6,1037
     277  3999,76  4552,75  7,93481
   277,5  3999,76  4528,34  7,93481
     278  3999,76  4502,09  9,76592
   278,5  3999,76  4480,73  6,71407
     279  3999,76  4452,04  3,66222
   279,5  3999,76  4430,07  4,88296
     280  3999,76  4401,99  3,05185
   280,5  3999,76  4384,29  1,83111
     281  3999,76  4351,33  1,83111
   281,5  3999,76  4333,63  1,83111
     282  3999,76  4301,89  1,83111
   282,5  3999,76  4278,08  3,66222
     283  3999,76  4264,66  3,05185
   283,5  3999,76   4237,8        0
     284  3999,76  4210,94  7,93481
   284,5  3999,76  4185,31  7,93481
     285  3999,76  4163,33  7,93481
   285,5  3999,76  4139,53  7,93481
     286  3999,76  4121,22  6,71407
   286,5  3999,76  4092,53  1,22074
     287  3999,76  4075,44  3,66222
   287,5  3999,76  4053,47  8,54518
     288  3999,76  4025,39  8,54518
   288,5  3999,76  3997,31  4,88296
     289  3999,76  3972,29  1,22074
   289,5  3999,76  3947,26   6,1037
     290  3999,76  3928,95  4,27259
   290,5  3999,76  3903,32  7,93481
     291  3999,76  3880,12  9,15555
   291,5  3999,76  3858,15  9,15555
     292  3999,76  3838,01  0,61037
   292,5  3999,76  3811,76   6,1037
     293  3999,76  3785,52  10,3763
   293,5  3999,76  3763,54  6,71407
     294  3999,76   3737,3  7,32444
   294,5  3999,76  3710,44  0,61037
     295  3999,76  3687,25  1,83111
   295,5  3999,76  3667,71  3,66222
     296  3999,76  3651,23  1,83111
   296,5  3999,76  3627,43  2,44148
     297  3999,76  3600,57  2,44148
   297,5  3999,76  3577,38  3,66222
     298  3999,76   3560,9   6,1037
   298,5  3999,76  3527,94   6,1037
     299  3999,76  3510,85  4,27259
   299,5  3999,76  3482,77  2,44148
     300  3999,76  3464,46  1,22074
   300,5  3999,76   3443,1  7,32444
     301  3999,76  3416,85   11,597
   301,5  3999,76  3397,93   6,1037
     302  3999,76  3377,79  7,93481
   302,5  3999,76  3345,44  51,8815
     303  3999,76  3328,96  51,8815
   303,5  3999,76  3300,88  953,398
     304  3999,76  3291,12  953,398
   304,5  3999,76  3277,08  1686,45
     305  3999,76  3264,87  1686,45
   305,5  3999,76  3248,39   2160,1
     306  3999,76  3241,07   2160,1
   306,5  3999,76  3229,47  2569,66
     307  3999,76  3219,09   2766,2
   307,5  3999,76  3214,82  2962,74
     308  3999,76  3209,33  3138,52
   308,5  3999,76  3212,38  3303,32
     309  3999,76  3200,78  3466,29
   309,5  3999,76  3203,83  3624,38
     310  3999,76  3203,22  3774,53
   310,5  3999,76  3208,11  3932,61
     311  3999,76  3208,72  4079,71
   311,5  3999,76  3208,72  4218,88
     312  3999,76  3217,87  4374,52
   312,5  3999,76   3219,7  4506,97
     313  3999,76  3227,64  4627,83
   313,5  3999,76  3226,42  4756,61
     314  3999,76  3233,74  4884,18
   314,5  3999,76  3245,95  5004,43
     315  3999,76  3252,66  5115,51
   315,5  3999,76  3255,71  5221,11
     316  3999,76  3267,31  5316,93
   316,5  3999,76  3286,84  5412,15
     317  3999,76  3299,05  5522,63
   317,5  3999,76  3305,76  5622,73
     318  3999,76  3318,58  5699,03
   318,5  3999,76  3338,11  5761,89
     319  3999,76   3349,1  5843,07
   319,5  3999,76  3367,41  5916,32
     320  3999,76  3381,45  6012,76
   320,5  3999,76  3401,59  6089,66
     321  3999,76  3416,24   6162,3
   321,5  3999,76  3433,94  6213,57
     322  3999,76  3451,64  6261,18
   322,5  3999,76  3473,01  6322,82
     323  3999,76   3484,6  6369,21
   323,5  3999,76  3502,91  6399,12
     324  3999,76  3522,45  6453,44
   324,5  3999,76  3543,81  6488,23
     325  3999,76  3565,78  6510,21
   325,5  3999,76  3585,92  6532,79
     326  3999,76  3598,74  6544,39
   326,5  3999,76  3623,16   6551,1
     327  3999,76  3640,25  6546,22
   327,5  3999,76  3658,56   6568,8
     328  3999,76  3682,36  6579,79
   328,5  3999,76  3700,06  6550,49
     329  3999,76  3727,53  6544,39
   329,5  3999,76  3747,67   6527,3
     330  3999,76  3763,54  6526,69
   330,5  3999,76  3781,24  6497,39
     331  3999,76  3809,93  6472,37
   331,5  3999,76  3828,85  6435,74
     332  3999,76  3848,38  6408,89
   332,5  3999,76  3865,47  6394,24
     333  3999,76  3885,62  6361,28
   333,5  3999,76  3909,42  6305,12
     334  3999,76  3930,78  6255,07
   334,5  3999,76  3961,91  6222,11
     335  3999,76  3971,68  6182,44
   335,5  3999,76  3996,09  6136,66
     336  3999,76  4009,52  6075,01
   336,5  3999,76  4041,26  6002,38
     337  3999,76  4050,42  5905,94
   337,5  3999,76   4079,1  5843,07
     338  3999,76  4092,53  5771,05
   338,5  3999,76  4115,12  5694,75
     339  3999,76  4124,27  5620,29
   339,5  3999,76  4133,43  5540,94
     340  3999,76  4147,47  5454,27
   340,5  3999,76  4171,27   5385,3
     341  3999,76  4182,26  5345,62
   341,5  3999,76  4198,74  5275,43
     342  3999,76  4214,61  5200,96
   342,5  3999,76  4215,22  5144,81
     343  3999,76  4231,09  5066,07
   343,5  3999,76  4245,73  4973,91
     344  3999,76  4254,89  4892,12
   344,5  3999,76  4275,03  4815,82
     345  3999,76  4281,75  4736,47
   345,5  3999,76  4292,73  4652,24
     346  3999,76  4304,33   4591,2
   346,5  3999,76   4320,2  4503,31
     347  3999,76  4325,08  4424,57
   347,5  3999,76  4336,07  4341,56
     348  3999,76  4342,17  4235,97
   348,5  3999,76  4348,89  4165,17
     349  3999,76  4360,48  4091,31
   349,5  3999,76  4372,08  4003,42
     350  3999,76  4369,64  3922,24
   350,5  3999,76   4373,3  3836,79
     351  3999,76  4376,96  3733,02
   351,5  3999,76  4372,08  3631,09
     352  3999,76  4384,29  3542,59
